
Geneid	SRR28411569	SRR28411570	SRR28411571	SRR28411572
YDR273W	82	74	38	93
YDR269C	0	0	0	0
YDR453C	1451	1435	676	805
YDR383C	236	220	121	249
YDR375C	1752	1496	633	1370
YDL161W	527	414	360	450
YDL051W	1270	1267	2006	1861
YDR084C	739	587	158	445
YDL056W	1414	1206	643	1008
YDR344C	104	81	79	116
YDR320C	606	440	246	420
YDR221W	1608	1305	1439	1930
tI(AAU)D	3	0	0	0
YDL032W	1	0	0	0
YDR456W	6316	5412	3055	4885
YDL036C	550	441	587	686
tL(CAA)D	4	5	1	7
YDL217C	407	426	307	461
snR63	40205	34536	18276	27369
YDR334W	2199	1685	1678	1954
YDL049C	315	337	215	339
YDL164C	1684	1381	1062	1308
YDR384C	415	331	726	1193
YDR149C	2	1	0	1
YDR093W	4951	3950	3543	4850
YDR071C	3912	3604	2286	3487
YDL143W	3134	2732	3158	3613
YDR032C	18176	15696	9169	10343
tR(UCU)D	0	0	0	0
YDR063W	2107	1706	852	1345
YDL166C	364	320	314	525
YDR004W	588	452	240	467
YDR151C	2345	2196	508	946
YDR037W	8182	7119	19966	15923
YDL175C	356	356	299	419
YDR286C	460	468	197	330
YDR172W	3211	2893	3094	4180
YDL174C	4562	4039	2133	2325
YDR080W	1049	920	545	723
YDR503C	1685	1491	602	1027
YDR069C	2744	2521	842	1412
YDR047W	3310	2626	1990	2916
YDR215C	489	411	98	80
YDR267C	962	799	949	979
YDR142C	1692	1364	702	1108
YDL212W	7162	5889	4362	7125
YDR249C	1574	1674	556	884
YDL209C	327	292	180	299
YDR044W	4286	3520	9369	9350
tK(UUU)D	37	41	17	63
YDR311W	1413	1107	884	1146
YDL159C-B	0	0	0	0
YDR222W	986	957	568	828
YDR510C-A	65	60	6	67
YDR401W	1	2	0	0
YDR207C	262	207	250	310
YDL005C	385	322	210	252
YDR295C	855	668	360	632
YDR543C	0	1	0	0
YDL208W	1562	1446	2196	2888
YDR135C	11461	9252	8522	12691
YDL114W	25	30	4	3
YDR247W	1674	1271	351	715
YDL197C	566	557	289	374
YDR229W	949	883	554	596
YDR095C	23	34	12	16
YDR027C	2348	1889	906	1366
YDL106C	826	716	343	467
YDR404C	2683	2392	1416	2729
YDR256C	689	706	480	572
YDR518W	4093	3379	2936	4300
YDR055W	8332	7225	4385	4940
YDL087C	378	321	199	345
YDR177W	2715	2501	1023	1744
YDL014W	1581	1334	2931	3744
YDR289C	566	445	278	476
YDL159W	616	520	257	401
YDR532C	408	326	150	244
YDR137W	1461	1273	1039	1200
YDL153C	109	79	165	319
YDR393W	1143	1059	650	759
YDR506C	784	704	288	474
YDL219W	831	644	474	831
YDL090C	1035	986	582	906
YDR033W	60338	55072	47492	58305
YDR035W	5777	5055	6422	6581
YDR332W	739	764	464	678
YDR510W	998	740	728	644
YDL055C	54526	48640	119651	100513
YDR480W	394	372	244	284
YDL103C	2712	2491	1571	1781
YDL085C-A	329	274	535	493
YDR350C	3124	2647	987	1466
YDR342C	7866	5975	3656	3340
YDR087C	685	804	1309	1324
YDL236W	3420	3003	2917	3727
YDR012W	9465	7907	15973	12470
YDL121C	905	851	1040	1533
YDR525W-A	1792	1675	227	709
tG(GCC)D2	29	37	74	136
YDL190C	6433	5420	2903	4077
YDL047W	1238	1030	620	1135
YDR099W	13568	11898	5383	6914
YDR092W	1510	1339	668	1178
YDR164C	1493	1211	904	1275
YDR058C	769	671	253	307
YDL020C	4247	3714	1366	1388
YDL025C	2722	2285	1090	1545
YDR374C	23	25	4	9
YDL207W	707	562	332	575
YDR270W	1287	1079	303	521
YDR152W	896	869	798	923
YDL148C	794	758	1584	2021
tI(UAU)D	23	18	3	3
YDR379C-A	784	668	230	303
YDR218C	73	66	10	23
YDL018C	1453	1285	629	1045
YDR507C	1624	1196	1060	1450
YDL003W	1079	985	997	1355
YDR524C-B	22815	19529	18789	29914
YDR371W	842	701	280	532
YDR359C	825	587	291	456
YDL180W	2772	2527	924	1355
YDL133W	1447	1321	518	862
YDR335W	6743	5618	2163	3642
YDR351W	2196	1854	930	1184
YDL150W	338	260	298	437
YDL177C	237	240	174	183
YDR171W	16145	14038	1408	2221
YDR364C	682	596	469	744
YDR309C	2082	1613	715	1033
YDL239C	1236	1203	480	516
YDL228C	79	84	52	269
YDL156W	269	214	167	252
YDL016C	1205	1081	295	829
tX(XXX)D	1	2	1	0
YDR524W-C	13071	13369	8170	16094
YDL085W	816	666	91	230
YDR300C	2498	2184	1692	2487
YDL168W	2069	1791	1614	1989
YDR360W	45	25	14	45
YDR195W	460	323	170	366
YDR321W	7491	6746	5436	10208
YDR237W	2830	2520	2047	2039
YDL127W	1321	1342	537	880
YDR107C	3478	2931	1854	2856
YDR472W	1008	908	1103	1287
YDL030W	363	273	338	332
YDR468C	657	681	302	525
YDL084W	27771	23767	21847	30715
YDL203C	1185	1025	617	827
YDL025W-A	0	0	0	0
YDR285W	233	217	141	154
YDL229W	20808	16326	47236	45605
YDR329C	1221	1238	667	841
YDR034C	2074	1907	1107	1595
YDR009W	294	223	190	268
tS(AGA)D2	16	14	2	11
YDR488C	435	400	502	436
YDR103W	5117	4222	1224	2102
YDR336W	607	503	557	527
YDL101C	1229	1159	488	650
YDR162C	360	343	155	217
YDR312W	336	339	350	547
YDL061C	2789	2320	2041	4203
YDL040C	3737	3060	2118	3700
YDR145W	1228	992	736	1096
YDR124W	649	639	168	325
YDL231C	3103	2788	2199	2484
YDR190C	2271	1835	1471	2443
YDL064W	1845	1575	1199	1969
YDR463W	1255	1031	642	776
YDR491C	158	155	44	134
YDR449C	397	479	322	492
YDL035C	3767	3153	1463	1978
YDR074W	12783	10007	3584	5230
YDR525W	14	8	0	15
YDR257C	919	972	774	864
YDR402C	132	101	45	76
YDR450W	18497	16395	35192	37020
YDR376W	2952	2582	1225	1740
YDR161W	971	931	1304	1663
YDR090C	1371	1310	746	1069
YDR189W	2125	1861	1238	1690
YDR524C	1711	1514	604	1331
YDL237W	7480	6298	3651	5604
YDR188W	4393	3914	6349	4992
YDL133C-A	3746	3237	2087	4465
YDR531W	1826	1632	1139	1967
tG(GCC)D1	1	0	0	0
YDR226W	15220	12992	20169	18421
YDL054C	3422	3274	1465	2379
YDL205C	1753	1592	2422	2746
YDR537C	44	23	3	6
YDR496C	2041	2030	4380	4464
YDR313C	1329	1171	732	688
YDL108W	853	721	612	742
tV(CAC)D	3	4	0	3
YDR340W	13	13	4	3
YDL147W	4696	3988	1993	3232
YDL081C	32378	28307	56106	44800
YDR283C	3801	3411	2251	2963
YDR261C	4162	3243	2056	2797
YDL211C	162	116	96	137
YDL074C	2860	2548	2233	2712
YDL091C	1696	1372	510	731
YDR346C	4373	3767	4899	5570
YDR072C	5310	4617	2315	4287
YDR242W	952	746	467	658
YDR323C	682	560	284	404
YDR486C	1159	1080	520	743
YDR420W	1725	1045	747	1919
YDL122W	3297	2813	1936	2672
YDR390C	1451	1312	895	1269
YDR481C	7485	6566	3062	4320
YDR318W	574	574	340	446
YDL105W	415	282	233	353
YDL141W	2446	2227	1513	2126
YDR400W	2692	2405	1802	2606
YDR522C	102	127	59	84
YDL173W	536	476	196	465
YDR279W	746	575	418	729
YDR281C	22	20	14	70
YDR213W	1048	755	1159	1435
YDR179W-A	622	616	411	599
YDR330W	1373	1256	509	730
YDR106W	88	94	42	78
YDL178W	3109	2590	1850	2540
YDR484W	985	969	334	544
YDR308C	590	523	456	447
YDL192W	13381	12056	9106	15108
YDL202W	1398	1256	821	993
YDR146C	1825	1386	558	1011
YDR241W	127	116	74	109
